item,review,date,rating,review_word,item_url,year
Leftoverture,Yes!,"October 20, 2018",5,"Finally a true audio file, 180 LP. It sounds amazing",https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
Turbo,Five Stars,"January 11, 2018",5,Love this CD...,https://www.amazon.com/Turbo-Judas-Priest/dp/B000002657/ref=sr_1_1?crid=3BGIFCD4QMAC9&dib=eyJ2IjoiMSJ9.4Lt9lOZW6aLzDYaucPf8Jg.ydzZskQEsB62kEq0d3GVh20YhkOdAutQf0Y7_zLvKfU&dib_tag=se&keywords=B000002657&qid=1716312347&sprefix=b000002657%2Caps%2C399&sr=8-1,2018
A Bug's Life (Disney Gold Classic Collection) [DVD],"The characters are so funny! I love how there isn't any ""adult"" humor ...","June 22, 2018",5,"I put this movie on when my grandchildren were over one day. I found myself sitting and laughing/enjoying it with them. The characters are so funny! I love how there isn't any ""adult"" humor in it. The out-takes at the end are particularly entertaining. It's a true family friendly movie.",https://www.amazon.com/Bugs-Life-Disney-Classic-Collection/dp/B00004R999/ref=sr_1_1?crid=2GALE335LFHNA&dib=eyJ2IjoiMSJ9.SNHvZeJrvSsSo16VcR5Gxg.51xUwXGMvaEhr6W1FHL6lpsOJ1w3tixPVi3fgVeI2QY&dib_tag=se&keywords=B00004R999&qid=1716403654&sprefix=b00004r999%2Caps%2C199&sr=8-1,2018
The Very Best of Acoustic Alchemy,Five Stars,"April 14, 2018",5,great sound great songs,https://www.amazon.com/Very-Best-Acoustic-Alchemy/dp/B00006F1IJ/ref=sr_1_1?crid=1OD4SVI2T59IV&dib=eyJ2IjoiMSJ9.ICSo6VOJJ-CVE84EVp7QzA.BgSkEPIipbwbnU4uoFfE3rVHj7saZxWI1Rw_LeKtHdU&dib_tag=se&keywords=B00006F1IJ&qid=1716279857&sprefix=b00006f1ij%2Caps%2C352&sr=8-1,2018
Nashville Skyline,My favorite Dylan album!,"January 12, 2018",5,"This is my favorite of all his albums. Not only do I like his songs, which are straightforward, but he actually sings them! Johnny Cash drops in for one of them. My vinyl copy of this is almost worn out.

I've grown out of his his earlier albums now. But Nashville Skyline will continue to be played again and again in whatever medium it comes in.",https://www.amazon.com/Nashville-Skyline-Bob-Dylan/dp/B0000024UM/ref=sr_1_1?crid=2IKR5XXP256DL&dib=eyJ2IjoiMSJ9.WGmVJKumvELm9suserSztw.U7nwmTUC6ieNnyd3p3BVgoGeMWxmqam-9iBEOQzd-Mo&dib_tag=se&keywords=B0000024UM&qid=1716299161&sprefix=b0000024um%2Caps%2C353&sr=8-1,2018
Antichrist Superstar,Five Stars,"March 8, 2018",5,Classic Manson. LOVE,https://www.amazon.com/Antichrist-Superstar-Marilyn-Manson/dp/B000001Y2U/ref=sr_1_1?crid=1NR6NX5Z7ZUCY&dib=eyJ2IjoiMSJ9.qL2UIBu8WzeeTOxp22ihYA.GglBOjR-g1nUeh0PAyhbq_gqQKDFr4W2YHeZRY411xo&dib_tag=se&keywords=B000001Y2U&qid=1716294963&sprefix=b000001y2u%2Caps%2C186&sr=8-1,2018
Breakaway,I was happy to find it here at a reasonable price,"January 2, 2018",5,"This is a disc that I have wanted for more than 40 years. I was happy to find it here at a reasonable price. It sounds as great as it did, 41+ years ago, when it was released, originally.",https://www.amazon.com/Breakaway-Art-Garfunkel/dp/B00000255B/ref=sr_1_1?crid=2VZQ24J9MGVEY&dib=eyJ2IjoiMSJ9.ByyjcPFro09vsukEmrxn0A.cqfzfS8cpBvJCB1PXMpWqqkeS77DTDbai8TvQZ0VPk0&dib_tag=se&keywords=B00000255B&qid=1716303044&sprefix=b00000255b%2Caps%2C370&sr=8-1,2018
Leftoverture,Five Stars,"January 12, 2018",5,"If today's artists were half as talented as this group, I might be able to listen to them",https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
Nashville Skyline,Dylan Goes Country. ...,"June 8, 2018",4,"I will admit this recording is Dylan lite. But with that said, it still worth having in
ones collection for a different sounding Bob Dylan. that is a more laid back and relaxed than is previous
recordings.
A delightful collection of Dylan songs in a country mode.",https://www.amazon.com/Nashville-Skyline-Bob-Dylan/dp/B0000024UM/ref=sr_1_1?crid=2IKR5XXP256DL&dib=eyJ2IjoiMSJ9.WGmVJKumvELm9suserSztw.U7nwmTUC6ieNnyd3p3BVgoGeMWxmqam-9iBEOQzd-Mo&dib_tag=se&keywords=B0000024UM&qid=1716299161&sprefix=b0000024um%2Caps%2C353&sr=8-1,2018
Age Ain't Nothing But A Number,Five Stars,"March 9, 2018",5,"Talk about nostalgia, I was 13 and just lost my virginity to my dad's friend.",https://www.amazon.com/Age-Aint-Nothing-But-Number/dp/B000000518/ref=sr_1_1?crid=AX0XRBC3IHJ7&dib=eyJ2IjoiMSJ9.MecOUYPDh_FXe0_5J1rFSA.pcrQ2UnT25YGa3Iu0X9d3vq3ODbx0tMroUg87vVAnzE&dib_tag=se&keywords=B000000518&qid=1716289586&sprefix=b000000518%2Caps%2C466&sr=8-1,2018
Bad For Good,Five Stars,"April 4, 2018",5,thanks,https://www.amazon.com/Bad-Good-Jim-Steinman/dp/B0000025IQ/ref=sr_1_1?crid=3HV0Z5Y943COP&dib=eyJ2IjoiMSJ9.Yl_b6QaN_ng4J-aIse_wrQ.-VZ22EYYv2DRKkoXC7xpMoMQ0uER57ipy9Np_mUG9vw&dib_tag=se&keywords=B0000025IQ&qid=1716306618&sprefix=b0000025iq%2Caps%2C196&sr=8-1,2018
Fallen,Wont be sorry,"January 11, 2018",5,"This is the first cd that I had listened to from Evanescence on Amazon Prime, and as I said in another review of them I thought they were a rap type group because I heard ""Bring Me To Life"" and there was some rap in it. And was I ever wrong! They are very diversified in their music as it can be a soft piece or something hard rock with teeth. I'm glad I went back and gave them a second chance because they have a lot of good songs!",https://www.amazon.com/Fallen-Evanescence/dp/B000089RVX/ref=sr_1_1?crid=290CGQ2NHPHC7&dib=eyJ2IjoiMSJ9.eobad5SwL5i-d--AGwghbQ.ykBTVlm_foUM92hVwy0EiGqNgj1fNLbaz8EyP5LP3lg&dib_tag=se&keywords=B000089RVX&qid=1716280554&sprefix=b000089rvx%2Caps%2C342&sr=8-1,2018
Bob Dylan's Greatest Hits,Made me nostalgic I love these Tunes,"October 11, 2018",4,Come on Bob Dylan what else is there to say,https://www.amazon.com/Bob-Dylans-Greatest-Hits-Dylan/dp/B00000J7SM/ref=sr_1_1?crid=3DGJSOKU7IZSU&dib=eyJ2IjoiMSJ9.1sqf0F1F_4oVBcQfLlS4Yw.m3YrRSja5d1egNnLWTf7pbV67g-30Rk0CM3GMgJFmY4&dib_tag=se&keywords=B00000J7SM&qid=1716331326&sprefix=b00000j7sm%2Caps%2C359&sr=8-1,2018
Octopus,Perfect Listening Experience.,"June 24, 2018",5,Octopus and Power and Glory are right there with In a Glass House. Remastered Cds are really clear and enhance the listening experience.,https://www.amazon.com/Octopus-Gentle-Giant/dp/B000002504/ref=sr_1_1?crid=EL91I9QZWW6C&dib=eyJ2IjoiMSJ9.maBa_QYMlv8mKY21Q64LCA.qUjSCegBRziebhWT8njUVORnMQHwzKdS5JxRi9wVy9Q&dib_tag=se&keywords=B000002504&qid=1716300946&sprefix=b000002504%2Caps%2C358&sr=8-1,2018
Hercules (Walt Disney Gold Classic Collection),Nice,"December 26, 2018",5,I have had to watch this movie quite a few times now if that says anything. My daughter is almost 5 and loves it,https://www.amazon.com/Hercules-Walt-Disney-Classic-Collection/dp/B00004R99R/ref=sr_1_1?crid=2FTSH42AV5379&dib=eyJ2IjoiMSJ9.6I9WynejnQbIMfFL9XYLQQ.bw6tUbOzXPN5es-V0RIcFynfL6ZWiMQrvc1EuwhZPbY&dib_tag=se&keywords=B00004R99R&qid=1716395158&sprefix=b00004r99r%2Caps%2C348&sr=8-1,2018
A Love Affair: The Music Of Ivan Lins,One of the best albums ever,"December 13, 2018",5,"A friend of mine gave me this CD over ten years ago. I had no idea who Ivan Lins was, but I knew most of the artists. WHEW!!!!! I play it a lot, usually around Christmas time as a mix with my other music, but this album stays new even though it was recorded some time ago. Give me water....give me inspiration....this album is a hit, every time.",https://www.amazon.com/Love-Affair-Music-Ivan-Lins/dp/B00004Y6S3/ref=sr_1_1?crid=1HKFMGCI2SWNM&dib=eyJ2IjoiMSJ9.xq_MEMoh0kQX124S5XblEQ.HpUfx4NnQD4U_gHd3SWsJ4nLn8RM_yDr7bSmnmVxGd4&dib_tag=se&keywords=B00004Y6S3&qid=1716245026&sprefix=b00004y6s3%2Caps%2C352&sr=8-1,2018
Octopus,Brilliant!,"June 8, 2018",5,Far ahead of their time. Brilliant!,https://www.amazon.com/Octopus-Gentle-Giant/dp/B000002504/ref=sr_1_1?crid=EL91I9QZWW6C&dib=eyJ2IjoiMSJ9.maBa_QYMlv8mKY21Q64LCA.qUjSCegBRziebhWT8njUVORnMQHwzKdS5JxRi9wVy9Q&dib_tag=se&keywords=B000002504&qid=1716300946&sprefix=b000002504%2Caps%2C358&sr=8-1,2018
Simply the Best: Live!,I like it a lot,"October 19, 2018",5,It's is the best,https://www.amazon.com/Simply-Best-Live-Irma-Thomas/dp/B0000002ZC/ref=sr_1_1?crid=31ROL8DEN653X&dib=eyJ2IjoiMSJ9.BNcqQBFw-ulFAPmQyVYMVQ.5U7cnjjWsb0mE0SCEI_qsgVBCac0iu7dqicQ0ZvU2yU&dib_tag=se&keywords=B0000002ZC&qid=1716285725&sprefix=b0000002zc%2Caps%2C203&sr=8-1,2018
Playing By Heart [DVD],LOVE this movie!,"April 16, 2018",5,"Just love this movie! The cast is amazing, the storyline is fascinating and the ending is all one could hope for. This is one my all time favorite movies to watch over and over and introduce new people to.",https://www.amazon.com/Playing-Heart-Gillian-Anderson/dp/B00000JGOJ/ref=sr_1_1?crid=9GP21OB4UXV8&dib=eyJ2IjoiMSJ9._bwI6ssNO849TDqFlxWxIA.bwdJYFwN5x_fO9KA0-ysXEE7onrxj-WekwhxWNimTMA&dib_tag=se&keywords=B00000JGOJ&qid=1716374836&sprefix=b00000jgoj%2Caps%2C331&sr=8-1,2018
Analyze This,Love this movie,"December 23, 2018",5,One of my favorite movies. How can one go wrong with Billy Crystal and Robert DeNero? They are both comedic geniuses.,https://www.amazon.com/Analyze-This-Robert-Niro/dp/B00000JGPE/ref=sr_1_1?crid=DI589TMI7MH9&dib=eyJ2IjoiMSJ9.sbb2QA2NKK3VkhgmtsEhxg.IYLTih9eX8DakNte_9qYhB4A3Tbz2NgSloEu8dY2RXU&dib_tag=se&keywords=B00000JGPE&qid=1716375576&sprefix=b00000jgpe%2Caps%2C336&sr=8-1,2018
Speakerboxxx / The Love Below,Amazing album!,"July 29, 2018",5,Fast shipping and great quality package.,https://www.amazon.com/Speakerboxxx-Love-Below-Outkast/dp/B0000AGWFX/ref=sr_1_1?crid=1AFQTL8YLGFHB&dib=eyJ2IjoiMSJ9.JnRZsWrxq02bSJU0kjXMfA.1b03CaAMVgOIuBb3mRU_UM-SlP50aHbtx9Uuztz-JLc&dib_tag=se&keywords=B0000AGWFX&qid=1716281291&sprefix=b0000agwfx%2Caps%2C385&sr=8-1,2018
A Christmas Story,Five Stars,"March 19, 2018",5,Great buy,https://www.amazon.com/Christmas-Story-Yano-Anaya/dp/B00000JKNR/ref=sr_1_1?crid=3K30ZEGFH7I1L&dib=eyJ2IjoiMSJ9.9SJQTPJM53CeXNJ1QByYzQ.ZvBSH1jSUd6Z5wnXIP8zFC9H3174Sqc5OSoWyZtZOao&dib_tag=se&keywords=B00000JKNR&qid=1716377750&sprefix=b00000jknr%2Caps%2C187&sr=8-1,2018
"Bach: Goldberg Variations, BWV 988 (Recorded 1981)",Very listenable,"April 14, 2018",4,"Not Bach, but only Bach was that. Very listenable, and a modern masterwork.",https://www.amazon.com/Bach-Goldberg-Variations-Johann-Sebastian/dp/B0000025PM/ref=sr_1_1?crid=1SZ3D39VND9KV&dib=eyJ2IjoiMSJ9.qlsBm40OUEV1kJTy5adiEw.JJrrwUQQHPvn2GUljytou5wM1cJHFXa522Mh7AppVDg&dib_tag=se&keywords=B0000025PM&qid=1716309056&sprefix=b0000025pm%2Caps%2C356&sr=8-1,2018
Monolith,Smashed jewel cases. Great music.,"October 11, 2018",4,"I have the original LP and have not yet listened to this CD. I can only hope it is not as destroyed as its jewel case. This music is and has always been superb. I have the original LP and needed a less worn out medium, to listen to it. I was however exceedingly disappointed in the non-existent packaging. I had several CDs in the same order and all of the jewel cases were smashed to the point that they cases are useless. There was no inner protection to prevent each case from smashing its neighbour as the package was flung from one end of the universe to the other, (where I live). Despite this, the music is amazing. That is the reason for this purchase.",https://www.amazon.com/Monolith-Kansas/dp/B0000025GF/ref=sr_1_1?crid=13Q9AWFQ1GLZ2&dib=eyJ2IjoiMSJ9.TgYkjm2_I1ZurXwFirIk9g.vQGZrfbxkK6Ng3vvppNjEeFCUbdvB82clFegUpqzUIw&dib_tag=se&keywords=B0000025GF&qid=1716306210&sprefix=b0000025gf%2Caps%2C547&sr=8-1,2018
The Downward Spiral,It even sounds great on my crappy record player,"January 28, 2018",5,This is well worth the money. It even sounds great on my crappy record player. You can tell Reznor really put time into this reissue.,https://www.amazon.com/Downward-Spiral-Nine-Inch-Nails/dp/B000001Y5Z/ref=sr_1_1?crid=3A3LZ91QFKO88&dib=eyJ2IjoiMSJ9.mcGhuEujktzWkhLcRDqAbw.OmTWacVrnhAwlHzvt2cAZWOya0HUXzqFowTm8R8YXKw&dib_tag=se&keywords=B000001Y5Z&qid=1716296825&sprefix=b000001y5z%2Caps%2C334&sr=8-1,2018
High Country Snows,One of the best,"January 29, 2018",5,One of Dan's best! Will miss him!,https://www.amazon.com/High-Country-Snows-Dan-Fogelberg/dp/B00000261V/ref=sr_1_1?crid=XT4N6YVBTPUK&dib=eyJ2IjoiMSJ9.tAZafTCS4JmVTfR63ZFIfw.8by2Cr0Mi-Ie2Xci-Tfw5srWl9eZbxPjGcgiwHBZDuk&dib_tag=se&keywords=B00000261V&qid=1716311609&sprefix=b00000261v%2Caps%2C214&sr=8-1,2018
Hercules (Walt Disney Gold Classic Collection),Very entertaining and funny,"July 6, 2018",5,"I don't watch animated movies for some time now, but this movie is one of my favorites. It's entertainment for children and grown-ups",https://www.amazon.com/Hercules-Walt-Disney-Classic-Collection/dp/B00004R99R/ref=sr_1_1?crid=2FTSH42AV5379&dib=eyJ2IjoiMSJ9.6I9WynejnQbIMfFL9XYLQQ.bw6tUbOzXPN5es-V0RIcFynfL6ZWiMQrvc1EuwhZPbY&dib_tag=se&keywords=B00004R99R&qid=1716395158&sprefix=b00004r99r%2Caps%2C348&sr=8-1,2018
Leftoverture,Classic Prog Rock album from the 70's. Kansas is ...,"February 1, 2018",5,"Classic Prog Rock album from the 70's. Kansas is, and will always be my go to music for revisiting the golden age of rock 'n roll.",https://www.amazon.com/Leftoverture-Kansas/dp/B000002579/ref=sr_1_1?crid=1BMCW32LI13QI&dib=eyJ2IjoiMSJ9.8hZwN_rsJUTSt5dV-WZp7A.IfEveLO_BcklRD4TFePgK-NtqoZJ27CTiGOLbIUecUM&dib_tag=se&keywords=B000002579&qid=1716303777&sprefix=b000002579%2Caps%2C356&sr=8-1,2018
Zombie Heaven,Four Stars,"May 26, 2018",4,Enjoying this a lot. One corner of the book was dented in tho upon arrival.,https://www.amazon.com/Zombie-Heaven-Zombies/dp/B0000004E0/ref=sr_1_1?crid=3C3O8PI9I3K23&dib=eyJ2IjoiMSJ9.ijF_-6BmFQJ7ayagxCkI_A.WqHR0y0kKqhlnh__Tc064pxAfGmFD-90tVuInSOVtfY&dib_tag=se&keywords=B0000004E0&qid=1716287165&sprefix=b0000004e0%2Caps%2C619&sr=8-1,2018
Toto IV,Four Stars,"April 15, 2018",4,Ordered for another person,https://www.amazon.com/Toto-IV/dp/B0000025P9/ref=sr_1_1?crid=2YCB54U5XGT8O&dib=eyJ2IjoiMSJ9.Mvsj5zCw_pAAuQf1kWcrSA.5rsvgNuHa2wMu7rc-yLV67oSTTpGKtGs0aLL_CHBiYo&dib_tag=se&keywords=B0000025P9&qid=1716308318&sprefix=b0000025p9%2Caps%2C363&sr=8-1,2018
Taming of the Shrew -DVD,A Shakespearean Classic! To Wive and Thrive...!,"July 4, 2018",5,"Elizabeth Taylor and her true love Richard Burton portray totally opposite people, who come to love and respect each other after their chaotic ""wooing""/marriage. Fun movie all around, yet they steal every scene. A joy to watch them together!!!",https://www.amazon.com/Taming-Shrew-Richard-Burton/dp/B00000JL7T/ref=sr_1_1?crid=2MONHXCLTDSQG&dib=eyJ2IjoiMSJ9.ToDS16XyIdpDzBWkweMDOA.xjGuyxUKSx-1uNXy4Um_EijsACDc4YCHZklBOnVVrCc&dib_tag=se&keywords=B00000JL7T&qid=1716380171&sprefix=b00000jl7t%2Caps%2C342&sr=8-1,2018
The Downward Spiral,NIN Gets You Closer to God,"January 15, 2018",5,"NIN is awesome, but you knew that already, didn't you? Didn't you? Trent's put amazing work in bringing his amazing work to vinyl.",https://www.amazon.com/Downward-Spiral-Nine-Inch-Nails/dp/B000001Y5Z/ref=sr_1_1?crid=3A3LZ91QFKO88&dib=eyJ2IjoiMSJ9.mcGhuEujktzWkhLcRDqAbw.OmTWacVrnhAwlHzvt2cAZWOya0HUXzqFowTm8R8YXKw&dib_tag=se&keywords=B000001Y5Z&qid=1716296825&sprefix=b000001y5z%2Caps%2C334&sr=8-1,2018
Antichrist Superstar,Good music and excellent condition.,"November 17, 2018",5,Loved the CD and arrived early.,https://www.amazon.com/Antichrist-Superstar-Marilyn-Manson/dp/B000001Y2U/ref=sr_1_1?crid=1NR6NX5Z7ZUCY&dib=eyJ2IjoiMSJ9.qL2UIBu8WzeeTOxp22ihYA.GglBOjR-g1nUeh0PAyhbq_gqQKDFr4W2YHeZRY411xo&dib_tag=se&keywords=B000001Y2U&qid=1716294963&sprefix=b000001y2u%2Caps%2C186&sr=8-1,2018
Mirror Conspiracy,Its Great!,"May 28, 2018",5,My favorite TC album. Front 2 back great grooves to get your mind right!,https://www.amazon.com/Mirror-Conspiracy-Thievery-Corporation/dp/B00004WFIZ/ref=sr_1_1?crid=OMNEY80A5WV7&dib=eyJ2IjoiMSJ9._NLzQkoiPlA4EjUWCcKBgA.mJxoYJ5UkAsIgUy_d9ZcJdUNrM29CvLr26uZwv3ChA4&dib_tag=se&keywords=B00004WFIZ&qid=1716242591&sprefix=b00004wfiz%2Caps%2C237&sr=8-1,2018
Age Ain't Nothing But A Number,Five Stars,"April 18, 2018",5,good sounds,https://www.amazon.com/Age-Aint-Nothing-But-Number/dp/B000000518/ref=sr_1_1?crid=AX0XRBC3IHJ7&dib=eyJ2IjoiMSJ9.MecOUYPDh_FXe0_5J1rFSA.pcrQ2UnT25YGa3Iu0X9d3vq3ODbx0tMroUg87vVAnzE&dib_tag=se&keywords=B000000518&qid=1716289586&sprefix=b000000518%2Caps%2C466&sr=8-1,2018
Sky Is Crying,Five Stars,"June 15, 2018",5,I still cry when I think of what was about to happen with SRV and his music.,https://www.amazon.com/Crying-Stevie-Vaughan-Double-Trouble/dp/B0000027KO/ref=sr_1_1?crid=3FXO3XAETZQ1T&dib=eyJ2IjoiMSJ9.2fyOwUvpUnv13bKuqApHFg.yVd0Z34eNwLlnxGF_ere0tmYyVK0VZyI5HqmpB3ezrk&dib_tag=se&keywords=B0000027KO&qid=1716315352&sprefix=b0000027ko%2Caps%2C230&sr=8-1,2018
Play,"Great music, good price!","June 24, 2018",5,Everybody I know loves this CD!,https://www.amazon.com/Play-Moby/dp/B00000J6AG/ref=sr_1_1?crid=37CCM6X7KCM2F&dib=eyJ2IjoiMSJ9.wjLOn2_mPix7oi5zvR_VJw.LpSioksqjlOaM7zt3Zfdtcc0Ip8Q_m41AdCSiNairBQ&dib_tag=se&keywords=B00000J6AG&qid=1716326925&sprefix=b00000j6ag%2Caps%2C448&sr=8-1,2018
